Tema,Frecuencia
derecho_social,1
derecho_fundamental,8
reforma,28
pueblo_originario,42
economia,5
judicial,6
mercado,5
distrito,14
historia,36
trabajo,1
eleccion,2
igualdad,13
estatus_social,1
dd_hh,15
religion,5
comunicacion,4
educacion,27
censura,8
medios_de_comunicacion,9
legislativo,3
orientacion_sexual,3
ejecutivo,15
libertad_asociacion,1
ciencia,7
expropiacion,1
derecho_internacional,7
cultura,9
nacionalidad,2
ff_aa,4
estado,32
presupuesto,10
propiedad,7
familia,18
reforma_y_constitucion,1
voto,31
simbolos,7
frontera,2
territorio,33
