Topico,discursos
Pueblos Originarios,302
Territorio,267
Estado,244
Voto,210
Reforma,202
Historia,196
Ejecutivo,160
Educacion,156
Familia,108
Distrito,98
Cultura,87
Igualdad,83
Derechos Humanos,73
Presupuesto,72
Legislativo,61
Derechos Fundamentales,60
Derecho Internacional,59
Censura,49
Comunicacion,42
Derechos Sociales,41
Religion,41
Propiedad,40
Medios de Comunicacion,38
Simbolos,35
Judicial,34
Economia,30
Ciencia,29
Mercado,29
FFAA,26
Reformas y Constitucion,23
Eleccion,20
Frontera,19
Deber,18
Trabajo,18
Nacionalidad,16
Agua,14
Derechos Civiles,14
Medio Ambiente,7
Orientacion Sexual,6
Partido,5
Censo,3
Estatus Social,3
Expropiacion,3
Ocupacion,3
Deportacion,2
Desempleo,2
Color de Piel,1
Edad,1
Libertad De Asociacion,1
Marital,1
